UUID,Pinyin,Character,New Filename
sapi5-7c354a63-684f4071-3eb5aabb-786b1a00-2fd2fd54.mp3,bìng,并,bìng_并.mp3
sapi5-e4453948-a6a473be-dc5f64a1-532f9be2-8cd38cc2.mp3,wù,物,wù_物.mp3
sapi5-7dfbdd59-7780ad57-edce47d1-bcb68299-fd4a40f8.mp3,shǒu,手,shǒu_手.mp3
sapi5-97cd492d-7139135f-e9d437c7-693095fd-950dcfe1.mp3,yìng,应,yìng_应.mp3
sapi5-c6c77cbe-3d58f5cb-08390bb3-2b9e5678-d814ded2.mp3,zhàn,战,zhàn_战.mp3
sapi5-cfbb3e26-764dcb0b-22c26abc-6e93e672-0fe24ca5.mp3,xiàng,向,xiàng_向.mp3
sapi5-cd133d11-2ea08342-d684d00b-720416fb-f8396e06.mp3,tóu,头,tóu_头.mp3
sapi5-987cf5a0-2ae86176-a89d5f38-0ea8c372-fd4d7812.mp3,wén,文,wén_文.mp3
sapi5-d42729e4-b0a4e0ba-90d4ffcd-70ce4020-c12a5e5a.mp3,tǐ,体,tǐ_体.mp3
sapi5-7cbcf1e1-6a5f23bf-eff6c907-654aaaf7-d9d40676.mp3,zhèng,政,zhèng_政.mp3
sapi5-4b2ad17b-dab5bcb4-1e80b23e-7055e8ae-01cbe031.mp3,měi,美,měi_美.mp3
sapi5-ddafb1c3-77e48760-077f5d28-c9ea67df-0a7dde4b.mp3,xiāng,相,xiāng_相.mp3
sapi5-0fa33589-6a708af2-8e5d259a-ffdf3b7f-39651f80.mp3,jiàn,见,jiàn_见.mp3
sapi5-322a13d8-d9355c0f-b712529b-bc8850da-5716ea9a.mp3,bèi,被,bèi_被.mp3
sapi5-c2ce464b-9bd24c63-27c5b663-91630a06-f7587b49.mp3,lì,利,lì_利.mp3
sapi5-0c0a3726-8a39c863-5e726234-facf9c7d-d7f314ec.mp3,shí,什,shí_什.mp3
sapi5-040167de-ef42e15d-0d3269b7-6db844dc-480067ac.mp3,èr,二,èr_二.mp3
sapi5-43159af0-5e0cb198-0fb5770e-f82a8741-15f262b8.mp3,děng,等,děng_等.mp3
sapi5-2cdc0acd-1fabe8e0-de936223-01d3109c-3a8850fb.mp3,chǎn,产,chǎn_产.mp3
sapi5-5debb9e0-e0fc6bfe-97e26ed1-ad7199f3-3a0ad035.mp3,huò,或,huò_或.mp3
sapi5-65693986-a8b5153c-3f07815d-9d57fe4b-a5b57906.mp3,xīn,新,xīn_新.mp3
sapi5-71481a17-2ab66fb6-824c4783-a080c8aa-f52d1ba0.mp3,jǐ,己,jǐ_己.mp3
sapi5-044150bc-58b152e6-abd097e3-b3961724-121280d3.mp3,zhì,制,zhì_制.mp3
sapi5-b7ccc7de-afc230b2-023d75c9-44a18c31-f6028020.mp3,shēn,身,shēn_身.mp3
sapi5-4343ecaf-a2656bb9-2b9a7c55-a612ce4c-5222f943.mp3,guǒ,果,guǒ_果.mp3
sapi5-9e23e2bb-ab5b4086-d28975e1-4b3ec5a5-96d27297.mp3,jiā,加,jiā_加.mp3
sapi5-2ded7dbe-cd6610ba-9db21cd5-b4df6fe4-8d7729f6.mp3,xī,西,xī_西.mp3
sapi5-604b2f07-57696eb1-13bf88df-90ee9c78-740d84e4.mp3,sī,斯,sī_斯.mp3
sapi5-6097bafc-cd8ecc28-71249839-7b2e7d4d-de897240.mp3,yuè,月,yuè_月.mp3
sapi5-628e0c52-068308ee-19d2c01d-7b43c609-5df5220b.mp3,huà,话,huà_话.mp3
sapi5-69cb8d55-07ef7b80-5db44156-389bc242-754c06eb.mp3,hé,合,hé_合.mp3
sapi5-f09d228e-b17b5f62-47487951-467a447d-4648c608.mp3,huí,回,huí_回.mp3
sapi5-a73388e6-af4d1a8d-61bdf47f-d0038624-2aa478b9.mp3,tè,特,tè_特.mp3
sapi5-3fdd15ce-2e16c399-dec622a1-8113b6d3-79098f91.mp3,dài,代,dài_代.mp3
sapi5-986ac1e3-f9c9b5b8-69df6460-05bb6e25-0ee4a62b.mp3,nèi,内,nèi_内.mp3
sapi5-10c42901-54a0eb5e-23430769-152a4d6c-0149e3a2.mp3,xìn,信,xìn_信.mp3
sapi5-d665233f-968f9cbb-eeda0268-fc8e9beb-a8c95e1c.mp3,biǎo,表,biǎo_表.mp3
sapi5-cd06fa68-cb4bbb8e-51ae7b8b-9da4da7a-936e4526.mp3,huà,化,huà_化.mp3
sapi5-8e1aae12-3cc133b4-9f5787d9-a9b0a52b-cf4c0f8a.mp3,lǎo,老,lǎo_老.mp3
sapi5-75636c7c-552ea47a-badd2bc1-0a8b332a-ae4cacb0.mp3,gěi,给,gěi_给.mp3
sapi5-1beec0ce-c74d7039-859ee113-661db3b2-a6cde078.mp3,shì,世,shì_世.mp3
sapi5-31061e3d-a6c20ce7-6de3cec3-bf573953-fabd0784.mp3,wèi,位,wèi_位.mp3
sapi5-687fecfe-83db0999-9994a16f-5f5215fb-b3cf608d.mp3,cì,次,cì_次.mp3
